n	x1	x2	x3	t	s11	s12	s13	s22	s23	s33	cfs	dip	stk	rk
2	8.306669714070594	0.9950715451357154	2.0105540798564814	1.0	262700.0	94640.0	68490.0	329700.0	-119400.0	15770.0	-76970.0762749709	25.0	75.0	110.0
3	12.520761031178557	-1.7811430040937255	0.7380984694065879	1.0	389300.0	34550.0	877100.0	1015000.0	-398000.0	351800.0	135483.39332487254	40.0	360.0	-20.0
4	8.184367128297312	1.2971190903948735	0.0810756519366349	1.0	271000.0	151600.0	50250.0	223700.0	-19960.0	24350.0	254844.94697623095	30.0	135.0	-90.0
5	9.893085930393513	-0.9340107993824782	1.539396505262212	1.0	5144000.0	2227000.0	-351800.0	2585000.0	-408300.0	-1465000.0	4971938.936732914	85.0	115.0	-100.0
6	7.661254764499684	0.3501322646514681	1.000798099670838	1.0	439800.0	166600.0	298800.0	603800.0	-218800.0	67680.0	221711.57339419494	10.0	350.0	150.0
7	10.832740377496853	-1.9765909046684504	4.2324035082959925	1.0	672800.0	-351800.0	-259300.0	-2015000.0	548400.0	1248000.0	181817.03578895857	50.0	95.0	-150.0
8	11.948287485314983	-1.5400724070767613	0.406511884100411	1.0	119300.0	30890.0	150900.0	301500.0	-156200.0	91060.0	193333.0089169314	60.0	135.0	-70.0
9	10.48149477165242	-3.095359432045331	1.8394217703623148	1.0	359100.0	190800.0	36450.0	254200.0	-14300.0	25280.0	-79184.34497829851	25.0	140.0	70.0
10	9.84320634789464	-1.9081505085118349	0.7703749534120984	1.0	269300.0	85140.0	54930.0	274800.0	-89700.0	26610.0	246326.6205885206	50.0	360.0	-110.0
11	8.754647559489664	-0.6383273722163091	3.8625586579237248	1.0	605000.0	158500.0	18270.0	316000.0	-99660.0	-13620.0	542033.9461063535	75.0	100.0	-120.0
12	10.174739521799507	-0.3469731909872072	0.9681682829509032	1.0	56870.0	14670.0	359000.0	617700.0	-394300.0	272100.0	462061.42960447294	60.0	185.0	-30.0
13	10.53833000839064	-0.0270429087487541	2.143207840231129	1.0	336800.0	244500.0	144700.0	560400.0	-141600.0	-41980.0	283231.041104398	85.0	235.0	-110.0
14	8.830835595048978	-2.2234364194902256	1.419873014684767	1.0	260200.0	149500.0	228500.0	431600.0	-114400.0	76530.0	462781.4440243144	65.0	150.0	-60.0
15	8.945397227698225	1.2891439414496653	0.4684882647354357	1.0	464200.0	148000.0	-60410.0	99990.0	-91490.0	-18330.0	214561.86829087662	15.0	330.0	-90.0
16	10.044559009993415	-1.093774283233835	0.2632440644196941	1.0	-71760.0	32310.0	605000.0	524200.0	20890.0	211600.0	180106.32843776848	45.0	25.0	-30.0
17	10.429052082935472	-0.8064202699308624	0.0425945419062163	1.0	1002000.0	216000.0	-102200.0	455700.0	-57940.0	-45250.0	741508.4158302366	50.0	140.0	-50.0
18	4.331583759912024	6.234952265780266	0.3540221132140674	1.0	1053000.0	351000.0	12460.0	392700.0	-53700.0	-192700.0	793693.7099036411	35.0	120.0	-90.0
19	5.344315350601498	2.8915795273774765	1.9228746058301391	1.0	1115000.0	-563300.0	1255000.0	-900900.0	2486000.0	880200.0	1723189.6081147296	30.0	10.0	140.0
20	4.489424786779828	1.8478717633997064	0.2320657113501574	1.0	-4572000.0	-4236000.0	2346000.0	-3540000.0	-59400.0	10110000.0	3283871.4823367354	15.0	155.0	-160.0
21	3.4616344699148693	5.927771162012838	0.5910976565368542	1.0	439400.0	445500.0	-418500.0	-114300.0	-211200.0	197000.0	827990.3455179208	60.0	280.0	-160.0
22	1.3073392642256432	6.253039477789247	1.9993999746902131	1.0	-5608000.0	-7287000.0	2887000.0	-10770000.0	540300.0	8842000.0	-3208157.953948737	50.0	80.0	-160.0
23	2.9149122513622374	4.129641688477261	1.2925448402918724	1.0	1330000.0	1563000.0	-1512000.0	1528000.0	-1466000.0	-2219000.0	1200818.3231582902	75.0	340.0	-100.0
24	4.958321765945669	3.706558438850028	2.5393510109173296	1.0	-2098000.0	-915200.0	-490400.0	190800.0	-777900.0	296000.0	-1269505.2821973443	10.0	130.0	-100.0
25	6.421248062521752	3.5910070030639907	0.8406542473296716	1.0	77370.0	-1085000.0	1134000.0	-951300.0	102400.0	5104000.0	1530948.299501914	85.0	90.0	100.0
26	5.060216714656654	3.603002442444127	2.9635770903611776	1.0	-4138000.0	-1966000.0	-159200.0	-4042000.0	-1168000.0	-8296000.0	-3533273.447455503	50.0	125.0	-100.0
27	6.39302460381866	3.3466002206522467	1.27524014778422	1.0	-478600.0	-1028000.0	901600.0	-153400.0	138800.0	3628000.0	-1651212.6357799491	70.0	155.0	-40.0
28	5.194043263716211	4.340921820878136	1.3241362171755655	1.0	-1055000.0	-1180000.0	2493000.0	-1145000.0	103300.0	-2197000.0	-4137897.538487695	25.0	345.0	-20.0
29	6.495893652976026	3.0292362859924107	1.9664875828840749	1.0	1579000.0	298400.0	2189000.0	-19550.0	2390000.0	349500.0	3823806.275986297	30.0	165.0	-40.0
30	7.493764094396448	4.408417480260908	0.0177017663679872	1.0	34790.0	22330.0	2115000.0	1471000.0	-37540.0	1328000.0	753522.6272312723	50.0	30.0	-60.0
31	4.608126371471912	3.616580764011812	2.3474937377305096	1.0	-992400.0	-879800.0	376800.0	849900.0	244500.0	-610600.0	-1122377.1153570062	65.0	80.0	-150.0
32	5.577253145158459	5.269695963649545	2.203692346845284	1.0	-451200.0	-2166000.0	1117000.0	-1492000.0	121600.0	9397000.0	-4187578.5597527064	75.0	105.0	-140.0
33	5.497703053527172	3.862969281079548	0.8984742581049083	1.0	-270100.0	-276600.0	292600.0	-140800.0	335600.0	164600.0	-585526.6473068505	70.0	120.0	-110.0
34	3.3302676026919062	10.101303218306178	0.5010466050163053	1.0	-5533000.0	-9163000.0	7521000.0	-15340000.0	4623000.0	13690000.0	-8769728.27404903	60.0	35.0	-80.0
35	-1.437296163159681	6.05592551907127	0.477914434473229	1.0	523900.0	130900.0	154700.0	-64080.0	177900.0	56530.0	362980.1905966403	45.0	125.0	-130.0
36	-0.234521519152978	6.848304638182662	0.1753061865472804	1.0	-872100.0	-247900.0	-142900.0	-1086000.0	-5907.0	317800.0	-1090678.2034038382	75.0	315.0	-130.0
37	-0.4040527098594575	8.790000331007437	0.3867915644328634	1.0	-14530.0	7194.0	-301700.0	-507900.0	-372200.0	257400.0	-428030.5988262346	60.0	135.0	-120.0
38	1.0420629307402285	8.91298516943684	1.4298032010831032	1.0	543800.0	500900.0	-439700.0	1071000.0	-566000.0	-320300.0	630318.2485293697	75.0	10.0	-80.0
39	4.706229905730887	11.16801549067147	2.388601626117868	1.0	1198000.0	570200.0	622500.0	251300.0	584900.0	46940.0	1530523.3032417116	40.0	145.0	-80.0
40	1.3095631519895483	10.870872746565803	0.0881100849657332	1.0	25090.0	-267600.0	200700.0	-304400.0	126700.0	134100.0	-474088.67421164626	65.0	135.0	-120.0
41	1.7708076304736609	7.413667105438816	1.8481538227678969	1.0	832300.0	460000.0	130600.0	458700.0	212000.0	-149200.0	970082.6000748621	60.0	85.0	-130.0
42	-1.6636347615257585	11.335606886558296	2.085562241440881	1.0	1119000.0	541900.0	210200.0	-486800.0	567100.0	131600.0	-501206.8782279458	80.0	145.0	-130.0
43	1.6891749065712356	8.784090257591387	1.0232445772007923	1.0	611800.0	214300.0	-77540.0	333600.0	404800.0	-237600.0	469174.68657066976	60.0	175.0	-60.0
44	-1.8372375302237485	8.140304670156162	0.440545302759093	1.0	134800.0	153100.0	-533700.0	-276800.0	-198800.0	-904500.0	286468.58849656465	75.0	275.0	-160.0
45	2.706834966025719	9.55595833628464	0.4108959773710987	1.0	-755400.0	-189800.0	-478300.0	-108900.0	-671000.0	281200.0	12757.485899002117	80.0	220.0	-10.0
46	0.2231376760847712	9.723167708155708	1.9120515389512225	1.0	738200.0	410000.0	217100.0	404500.0	282800.0	137700.0	188668.09808376292	70.0	35.0	-140.0
47	-2.8111060502694265	9.806897867764995	1.4524469281002523	1.0	806800.0	581400.0	409200.0	576400.0	857900.0	473400.0	590039.0571356923	80.0	305.0	180.0
48	0.817044256246131	7.425629446990618	0.8011882123376711	1.0	-335100.0	101000.0	-289700.0	771100.0	-975500.0	17820.0	-347886.7353115156	50.0	120.0	-130.0
49	1.9313457246121548	7.550326821303109	1.7691977741392777	1.0	1031000.0	627200.0	-598600.0	-587900.0	-719000.0	-182700.0	643841.275048053	70.0	70.0	-100.0
50	-5.200701369719086	10.61518322054608	0.6448542216917467	1.0	1068000.0	486300.0	126100.0	-488500.0	467300.0	-391200.0	1016167.6241081804	75.0	100.0	-110.0
51	-2.7951285118160776	16.073591335926277	1.507139406094407	1.0	30850.0	-256600.0	-57330.0	304000.0	-306600.0	58110.0	418641.0833658151	45.0	10.0	-60.0
52	-4.667172749065635	13.24174888885508	1.6561377381370708	1.0	73050.0	-55410.0	-15130.0	85670.0	168500.0	103500.0	-70183.33843405751	45.0	20.0	-40.0
53	-3.19655146357652	16.187687406415552	1.7167413090623858	1.0	-417000.0	-987000.0	312100.0	-2048000.0	979000.0	748300.0	691023.0186513561	15.0	155.0	-90.0
54	-1.6963344151577602	11.198650743809342	0.961761528869972	1.0	97100.0	-58520.0	-37670.0	50490.0	155900.0	94810.0	-13933.158256000019	85.0	360.0	-10.0
55	-4.678055013670008	13.107178638798354	1.1523423780590858	1.0	-692300.0	-797600.0	230300.0	-675200.0	162700.0	1475000.0	-475951.1271673399	35.0	120.0	-140.0
56	-1.9461221110230724	13.925948800113424	2.3893512872244647	1.0	443400.0	36870.0	-144100.0	-682800.0	406300.0	-376600.0	-227783.85871479326	65.0	50.0	-60.0
57	-1.827370238287722	11.702853801804718	0.7420835254023147	1.0	298400.0	67300.0	120600.0	38840.0	335000.0	24580.0	165257.75176843707	60.0	155.0	-70.0
